Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"What process converts pyruvate to acetyl CoA",Glycolysis,Citric Acid Cycle,Pyruvate Oxidation,Fermentation,2,13
"What law relates current voltage and resistance",Ohms Law,Kirchhoffs Law,Faradays Law,Joules Law,0,10
"What type of bond forms between water molecules",Ionic,Covalent,Hydrogen,Metallic,2,10
"What organelle produces ATP in eukaryotic cells",Ribosome,Chloroplast,Mitochondrion,Nucleus,2,10
"What property describes a substance that does not conduct electricity",Insulator,Conductor,Semiconductor,Electrolyte,0,10
"What is the pH of a neutral solution at 25C",0,7,14,1,1,10
"What is the term for oxidation without oxygen",Anaerobic,Aerobic,Hypoxic,Oxidative,0,10
"What particle mediates the weak nuclear force",Photon,Gluon,Z Boson,Electron,2,19
"What is the principle that energy is quantized",Plancks Principle,Pauli Principle,Heisenberg Principle,Born Principle,0,10
"What is the effect of catalyst on activation energy",Increases,Decreases,No Change,Reverses,1,7
"What field studies classification of organisms",Genetics,Anatomy,Taxonomy,Physiology,2,10
"What gas law describes volume and temperature relation",Boyles Law,Charles Law,Avogadros Law,Daltons Law,1,10
"What is the basic unit of heredity",Chromosome,Gene,Allele,DNA,1,10
"What is the cell cycle phase for DNA replication",G1,S,G2,M,1,10
"What is the minimum energy to remove an electron",Ionization Energy,Activation Energy,Binding Energy,Work Function,0,10
"What process forms glucose in plants",Respiration,Transpiration,Photosynthesis,Digestion,2,8
"What describes curved space around mass",Gravity Field,Electric Field,Magnetic Field,Gravitational Field,3,10
"What type of reaction absorbs heat",Exothermic,Endothermic,Isothermal,Adiabatic,1,8
"What is the SI base unit for amount of substance",Mole,Gram,Liter,Molecule,0,10
"What phenomenon splits white light into spectrum",Reflection,Refraction,Diffraction,Dispersion,3,10
