Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"Which of these diseases is caused by a bacterial infection?",Tuberculosis,Chickenpox,Influenza,Polio,0,11
"What is the most common sexually transmitted infection?",Chlamydia,Human papillomavirus (HPV),HIV,Herpes,0,11
"What is the medical term for high cholesterol?",Hyperlipidemia,Hypoglycemia,Hypertension,Hypercalcemia,0,11
"What is the first line of treatment for an asthma attack?",Inhalers,Antibiotics,Anti-inflammatory drugs,Chemo,0,10
"Which vitamin is essential for blood clotting?",Vitamin K,Vitamin A,Vitamin C,Vitamin D,0,11
"Which part of the body is most commonly affected by Parkinson's disease?",Brain,Heart,Lungs,Kidneys,0,11
"What is the condition where bones become fragile and brittle?",Osteoporosis,Arthritis,Scoliosis,Myopathy,0,11
"What is the name of the disorder that causes a person to stop breathing during sleep?",Sleep apnea,Insomnia,Narcolepsy,Restless leg syndrome,0,11
"What type of fat is most harmful to human health?",Trans fat,Unsaturated fat,Monounsaturated fat,Polyunsaturated fat,0,11
"What is the name of the disorder characterized by an overactive thyroid?",Hyperthyroidism,Hypothyroidism,Hashimoto's disease,Cretinism,0,12
"Which drug is commonly used to manage high blood pressure?",Aspirin,Insulin,Losartan,Antibiotics,2,12
"Which of these is a risk factor for developing type 2 diabetes?",Obesity,Hypertension,Stress,Low calcium intake,0,12
"Which chronic disease is the leading cause of kidney failure?",Diabetes,Heart disease,Cancer,Hypertension,0,12
"What is the primary treatment for a bacterial infection?",Antibiotics,Antivirals,Antifungals,Analgesics,0,12
"What is the medical term for the inflammation of the appendix?",Appendicitis,Peritonitis,Diverticulitis,Cholecystitis,0,12
"Which disease is characterized by the progressive loss of memory?",Alzheimer's disease,Parkinson's disease,Epilepsy,Multiple sclerosis,0,12
"Which medical condition is commonly associated with difficulty breathing?",Asthma,Cancer,Heart disease,Lung disease,0,12
"What is the name of the medication commonly used to treat depression?",Antidepressants,Antibiotics,Antihistamines,Anti-inflammatories,0,12
"Which of the following is an effect of dehydration?",Headache,High blood pressure,Fatigue,All of the above,3,12
"What condition is most commonly treated with insulin?",Diabetes,Hypertension,Heart disease,Asthma,0,12
"What is the most common cause of cirrhosis of the liver?",Alcohol abuse,Obesity,Cholesterol,Diabetes,0,12
"Which hormone regulates the body's circadian rhythm?",Melatonin,Insulin,Cortisol,Adrenaline,0,12
"What type of doctor specializes in the treatment of cancer?",Oncologist,Cardiologist,Orthopedist,Neurologist,0,12
