Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"Which programming language was designed by Google?",Go,Swift,Python,Java,0,10
"Which company created the smartphone known as the 'Galaxy'?",Apple,Google,Samsung,LG,2,10
"Which component of a computer is responsible for executing instructions?",CPU,RAM,Hard Drive,Graphics Card,0,10
"Which programming language is widely used for mobile app development?",Java,Swift,C++,JavaScript,0,10
"Which technology is commonly used for the development of artificial intelligence?",Machine Learning,Augmented Reality,Cloud Computing,Quantum Computing,0,10
"Which type of software is Adobe Photoshop?",Graphics Design Software,Web Development Software,Operating System,Office Software,0,10
"What is a primary purpose of a Content Management System (CMS)?",Manage website content,Encrypt user data,Store large files,Develop programming code,0,10
"What does the acronym 'HTML' stand for?",HyperText Markup Language,High Tech Media Language,Hyperlink Text Markup Language,Hyperlink Technology Markup Language,0,10
"Which of the following is a machine learning algorithm?",K-means,MDX,SQL,Python,0,10
"Which is used to protect personal information on a website?",SSL Certificate,JavaScript,Cloud Computing,Firewall,0,10
"Which company is known for creating the iPhone?",Samsung,Google,Apple,Microsoft,2,10
"Which technology is commonly used for augmented reality?",Google Cardboard,Smartphone Cameras,QR Codes,Smartwatches,1,10
"Which type of programming is used in web development?",Frontend Development,Backend Development,Full Stack Development,All of the above,3,10
"Which of the following technologies is used in facial recognition?",AI,Machine Learning,Neural Networks,All of the above,3,11
"Which type of neural network is used for image recognition?",Convolutional Neural Network,Recurrent Neural Network,Generative Adversarial Network,Radial Basis Function Network,0,11
"What is the main advantage of cloud computing?",Scalability,Security,Speed,Cost,0,11
"Which of the following is a feature of quantum computing?",Superposition,Encryption,Compression,Virtualization,0,11
"What is the purpose of a compiler in programming?",Convert code to machine-readable form,Encrypt data,Compile code into an executable,Store data,0,11
"Which language is commonly used for server-side scripting?",PHP,JavaScript,HTML,CSS,0,11
"Which technology is most closely associated with the concept of 'big data'?",Machine Learning,Cloud Computing,Blockchain,Artificial Intelligence,1,11
"Which of these is an example of an autonomous robot?",Roomba,Self-driving car,Drone,All of the above,3,11
"Which platform is most widely used for open-source software development?",GitHub,GitLab,SourceForge,Bitbucket,0,11
"Which technology uses smart sensors and networks to connect physical devices?",Internet of Things,Machine Learning,Cloud Computing,Artificial Intelligence,0,11
"Which of the following programming languages is used in Android app development?",Kotlin,Swift,Java,C#,0,11
"Which of these is an example of a digital assistant?",Siri,Alexa,Google Assistant,All of the above,3,12
"Which of the following is associated with self-learning systems?",Artificial Intelligence,Blockchain,Cloud Computing,Quantum Computing,0,12
"Which programming language is known for its use in data analysis?",Python,R,Java,Swift,0,12
"Which of these technologies is used to store and manage large amounts of data?",Big Data,Cloud Computing,Blockchain,All of the above,3,12
"Which of these programming paradigms is based on the concept of 'objects'?",Object-Oriented Programming,Functional Programming,Procedural Programming,Declarative Programming,0,12
