Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"Which is the only continent with land in all four hemispheres",Africa,Asia,North America,Australia,0,26
"What is the largest country in South America",Brazil,Argentina,Peru,Chile,0,27
"What is the capital of Mongolia",Ulaanbaatar,Helsinki,Astana,Phnom Penh,0,27
"Which of these countries has the largest population density",Monaco,Singapore,Bangladesh,India,0,28
"Which country is home to the Amazon rainforest",Brazil,Peru,Colombia,Venezuela,0,28
"What is the capital city of Iceland",Reykjavik,Helsinki,Oslo,Copenhagen,0,29
"What is the world's largest archipelago",Indonesia,Philippines,Canada,Maldives,0,29
"What is the largest country in Africa",Nigeria,South Africa,Algeria,Egypt,2,10
"Which country has the highest average elevation",Nepal,Switzerland,Peru,Tibet,1,10
"Which country is known as the 'Land of a Thousand Lakes'",Finland,Sweden,Canada,USA,0,10
"What is the longest river in South America",Amazon River,Orinoco River,Paraná River,Magdalena River,0,10
"Which country has the most pyramids",Sudan,Mexico,Egypt,Peru,0,10
"What is the capital of Spain",Madrid,Barcelona,Seville,Valencia,0,10
"Which island is the largest in the Mediterranean Sea",Crete,Italy,Sicily,Corsica,2,10
"What is the official language of Switzerland",French,German,Italian,All of the above,3,10
"Which country is the world's largest producer of diamonds",South Africa,Australia,India,Canada,1,10
"Which river is known as the 'Yellow River'",Yangtze River,Mekong River,Lena River,Huang He,3,10
"What is the capital of South Korea",Seoul,Beijing,Tokyo,Hanoi,0,10
"Which mountain range runs through Morocco",Atlas Mountains,Appalachian Mountains,Andes Mountains,Rocky Mountains,0,10
"What is the national currency of Egypt",Pound,Dirham,Euro,Yen,0,10
"Which ocean lies to the west of the USA",Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,2,10
"Which country is the world’s largest producer of olive oil",Spain,Italy,Greece,Turkey,0,10
