Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"Which major world event occurred in 1939?",World War II began,World War I began,The Cold War began,The Korean War began,0,11
"Which empire was centered in present-day Iran?",Ottoman Empire,Persian Empire,Byzantine Empire,Ottoman Empire,1,10
"Which revolution led to the creation of the United States?",American Revolution,French Revolution,Industrial Revolution,Glorious Revolution,0,11
"Who was the leader of Nazi Germany during World War II?",Adolf Hitler,Benito Mussolini,Joseph Stalin,Winston Churchill,0,11
"Which war was fought between 1955 and 1975 in Southeast Asia?",Vietnam War,Korean War,Indochina War,Laotian War,0,10
"Which major battle took place on June 6 1944?",D-Day Battle,Battle of the Bulge,Battle of Stalingrad,Battle of Midway,0,11
"Which country was divided into East and West during the Cold War?",Germany,Korea,Vietnam,China,0,11
"Which revolution took place in France in 1789?",French Revolution,Glorious Revolution,American Revolution,Industrial Revolution,0,11
"What was the name of the first atomic bomb dropped in Japan?",Little Boy,Fat Man,Enola Gay,Big Bang,0,12
"Which famous explorer sailed to India in 1498?",Christopher Columbus,Ferdinand Magellan,Vasco da Gama,Marco Polo,2,10
"Which country was invaded by Germany in 1940 during World War II?",France,Poland,Italy,USA,0,12
"What event triggered the start of the American Civil War?",Battle of Gettysburg,Emancipation Proclamation,Firing on Fort Sumter,The Attack on Pearl Harbor,2,12
"What empire was led by Augustus Caesar?",Roman Empire,Ottoman Empire,Persian Empire,Mongol Empire,0,12
"Which war did the United States fight against Vietnam?",Vietnam War,Cold War,World War II,Korean War,0,10
"Who was the last Tsar of Russia?",Ivan IV,Nicholas II,Peter the Great,Alexander II,1,12
"What empire ruled over much of Europe during the 5th to 15th centuries?",Roman Empire,Ottoman Empire,Byzantine Empire,Franks,0,13
"What event occurred on December 7 1941?",Pearl Harbor attack,Normandy invasion,The Battle of Stalingrad,The Battle of Midway,0,13
"Who led the Soviet Union during the Cuban Missile Crisis?",Nikita Khrushchev,Joseph Stalin,Leonid Brezhnev,Mikhail Gorbachev,0,13
"What year did the Berlin Wall fall?",1989,1991,1993,1987,0,13
"Who discovered the Americas in 1492?",Christopher Columbus,Amerigo Vespucci,Ferdinand Magellan,Leif Erikson,0,10
"Who was the first woman to be elected to a national office in the United States?",Margaret Sanger,Clara Barton,Jeannette Rankin,Harriet Beecher Stowe,2,14
"Who is credited with inventing the light bulb?",Nikola Tesla,Thomas Edison,Alexander Graham Bell,George Westinghouse,1,14
"What war was fought between the North and South in the United States?",Civil War,Revolutionary War,Spanish-American War,War of 1812,0,14
"What year did the Titanic sink?",1912,1900,1920,1910,0,10
